trial  	problem size 	processes 	time
line:  1
10	32000000	16	158.426306	

line:  5
1	4000000	1	54.490950	
2	4000000	1	54.579142	
3	4000000	1	54.535482	
4	4000000	1	54.671807	
5	4000000	1	54.998102	
6	4000000	1	54.554365	
7	4000000	1	54.763470	
8	4000000	1	54.962328	
9	4000000	1	54.542576	
10	4000000	1	55.136570	
1	8000000	2	76.305488	
2	8000000	2	76.255263	
3	8000000	2	76.295408	
4	8000000	2	76.338233	
5	8000000	2	76.411520	
6	8000000	2	76.316016	
7	8000000	2	76.286312	
8	8000000	2	76.304733	
9	8000000	2	76.524312	
10	8000000	2	76.293253	
1	16000000	4	109.399007	
2	16000000	4	108.082340	
3	16000000	4	109.774176	
4	16000000	4	108.716187	
5	16000000	4	107.486735	
6	16000000	4	107.365242	
7	16000000	4	107.707074	
8	16000000	4	108.105959	
9	16000000	4	107.635180	
10	16000000	4	107.575072	
1	32000000	8	152.513910	
2	32000000	8	156.466976	
3	32000000	8	159.143049	
4	32000000	8	155.109217	
5	32000000	8	179.567804	
6	32000000	8	179.277747	
7	32000000	8	180.718809	
8	32000000	8	153.816071	
9	32000000	8	185.914022	
10	32000000	8	169.964561	
1	64000000	16	485.009156	
2	64000000	16	491.487446	
3	64000000	16	481.307269	
4	64000000	16	478.619512	
5	64000000	16	474.804810	
6	64000000	16	484.047005	
7	64000000	16	475.092689	
8	64000000	16	484.312072	
9	64000000	16	488.106092	
10	64000000	16	484.447644	

line:  6
1	8000000	1	158.423178	
2	8000000	1	154.839340	
3	8000000	1	154.384823	
4	8000000	1	154.399787	
5	8000000	1	154.677718	
6	8000000	1	
